,City,Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI,County
1155110,New York,2011-01-01,49,4,47.0,,Bronx
1155111,New York,2011-01-01,49,4,47.0,16.0,Bronx
1155112,New York,2011-01-01,49,4,,,Bronx
1155113,New York,2011-01-01,49,4,,16.0,Bronx
1155114,New York,2011-01-02,42,19,41.0,,Bronx
1155115,New York,2011-01-02,42,19,41.0,11.0,Bronx
1155116,New York,2011-01-02,42,19,,,Bronx
1155117,New York,2011-01-02,42,19,,11.0,Bronx
1155118,New York,2011-01-03,33,22,20.0,,Bronx
1155119,New York,2011-01-03,33,22,20.0,7.0,Bronx
1155120,New York,2011-01-03,33,22,,,Bronx
1155121,New York,2011-01-03,33,22,,7.0,Bronx
1155122,New York,2011-01-04,49,5,33.0,,Bronx
1155123,New York,2011-01-04,49,5,33.0,8.0,Bronx
1155124,New York,2011-01-04,49,5,,,Bronx
1155125,New York,2011-01-04,49,5,,8.0,Bronx
1155126,New York,2011-01-05,38,19,31.0,,Bronx
1155127,New York,2011-01-05,38,19,31.0,8.0,Bronx
1155128,New York,2011-01-05,38,19,,,Bronx
1155129,New York,2011-01-05,38,19,,8.0,Bronx
1155130,New York,2011-01-06,43,11,26.0,,Bronx
1155131,New York,2011-01-06,43,11,26.0,9.0,Bronx
1155132,New York,2011-01-06,43,11,,,Bronx
1155133,New York,2011-01-06,43,11,,9.0,Bronx
1155134,New York,2011-01-07,42,5,30.0,,Bronx
1155135,New York,2011-01-07,42,5,30.0,11.0,Bronx
1155136,New York,2011-01-07,42,5,,,Bronx
1155137,New York,2011-01-07,42,5,,11.0,Bronx
1155138,New York,2011-01-08,31,18,37.0,,Bronx
1155139,New York,2011-01-08,31,18,37.0,13.0,Bronx
1155140,New York,2011-01-08,31,18,,,Bronx
1155141,New York,2011-01-08,31,18,,13.0,Bronx
1155142,New York,2011-01-09,17,22,14.0,,Bronx
1155143,New York,2011-01-09,17,22,14.0,11.0,Bronx
1155144,New York,2011-01-09,17,22,,,Bronx
1155145,New York,2011-01-09,17,22,,11.0,Bronx
1155146,New York,2011-01-10,33,22,23.0,,Bronx
1155147,New York,2011-01-10,33,22,23.0,9.0,Bronx
1155148,New York,2011-01-10,33,22,,,Bronx
1155149,New York,2011-01-10,33,22,,9.0,Bronx
1155150,New York,2011-01-11,30,12,16.0,,Bronx
1155151,New York,2011-01-11,30,12,16.0,10.0,Bronx
1155152,New York,2011-01-11,30,12,,,Bronx
1155153,New York,2011-01-11,30,12,,10.0,Bronx
1155154,New York,2011-01-12,25,21,21.0,,Bronx
1155155,New York,2011-01-12,25,21,21.0,5.0,Bronx
1155156,New York,2011-01-12,25,21,,,Bronx
1155157,New York,2011-01-12,25,21,,5.0,Bronx
1155158,New York,2011-01-13,26,21,17.0,,Bronx
1155159,New York,2011-01-13,26,21,17.0,3.0,Bronx
1155160,New York,2011-01-13,26,21,,,Bronx
1155161,New York,2011-01-13,26,21,,3.0,Bronx
1155162,New York,2011-01-14,35,19,27.0,,Bronx
1155163,New York,2011-01-14,35,19,27.0,7.0,Bronx
1155164,New York,2011-01-14,35,19,,,Bronx
1155165,New York,2011-01-14,35,19,,7.0,Bronx
1155166,New York,2011-01-15,47,14,52.0,,Bronx
1155167,New York,2011-01-15,47,14,52.0,7.0,Bronx
1155168,New York,2011-01-15,47,14,,,Bronx
1155169,New York,2011-01-15,47,14,,7.0,Bronx
1155170,New York,2011-01-16,35,25,20.0,,Bronx
1155171,New York,2011-01-16,35,25,20.0,7.0,Bronx
1155172,New York,2011-01-16,35,25,,,Bronx
1155173,New York,2011-01-16,35,25,,7.0,Bronx
1155174,New York,2011-01-17,25,24,14.0,,Bronx
1155175,New York,2011-01-17,25,24,14.0,7.0,Bronx
1155176,New York,2011-01-17,25,24,,,Bronx
1155177,New York,2011-01-17,25,24,,7.0,Bronx
1155178,New York,2011-01-18,31,19,16.0,,Bronx
1155179,New York,2011-01-18,31,19,16.0,10.0,Bronx
1155180,New York,2011-01-18,31,19,,,Bronx
1155181,New York,2011-01-18,31,19,,10.0,Bronx
1155182,New York,2011-01-19,37,13,37.0,,Bronx
1155183,New York,2011-01-19,37,13,37.0,10.0,Bronx
1155184,New York,2011-01-19,37,13,,,Bronx
1155185,New York,2011-01-19,37,13,,10.0,Bronx
1155186,New York,2011-01-20,35,20,20.0,,Bronx
1155187,New York,2011-01-20,35,20,20.0,6.0,Bronx
1155188,New York,2011-01-20,35,20,,,Bronx
1155189,New York,2011-01-20,35,20,,6.0,Bronx
1155190,New York,2011-01-21,31,19,26.0,,Bronx
1155191,New York,2011-01-21,31,19,26.0,6.0,Bronx
1155192,New York,2011-01-21,31,19,,,Bronx
1155193,New York,2011-01-21,31,19,,6.0,Bronx
1155194,New York,2011-01-22,37,20,31.0,,Bronx
1155195,New York,2011-01-22,37,20,31.0,5.0,Bronx
1155196,New York,2011-01-22,37,20,,,Bronx
1155197,New York,2011-01-22,37,20,,5.0,Bronx
1155198,New York,2011-01-23,36,22,44.0,,Bronx
1155199,New York,2011-01-23,36,22,44.0,6.0,Bronx
1155200,New York,2011-01-23,36,22,,,Bronx
1155201,New York,2011-01-23,36,22,,6.0,Bronx
1155202,New York,2011-01-24,49,17,34.0,,Bronx
1155203,New York,2011-01-24,49,17,34.0,9.0,Bronx
1155204,New York,2011-01-24,49,17,,,Bronx
1155205,New York,2011-01-24,49,17,,9.0,Bronx
1155206,New York,2011-01-25,54,3,65.0,,Bronx
1155207,New York,2011-01-25,54,3,65.0,15.0,Bronx
1155208,New York,2011-01-25,54,3,,,Bronx
1155209,New York,2011-01-25,54,3,,15.0,Bronx
1155210,New York,2011-01-26,48,11,50.0,,Bronx
1155211,New York,2011-01-26,48,11,50.0,17.0,Bronx
1155212,New York,2011-01-26,48,11,,,Bronx
1155213,New York,2011-01-26,48,11,,17.0,Bronx
1155214,New York,2011-01-27,44,18,46.0,,Bronx
1155215,New York,2011-01-27,44,18,46.0,10.0,Bronx
1155216,New York,2011-01-27,44,18,,,Bronx
1155217,New York,2011-01-27,44,18,,10.0,Bronx
1155218,New York,2011-01-28,46,4,55.0,,Bronx
1155219,New York,2011-01-28,46,4,55.0,10.0,Bronx
1155220,New York,2011-01-28,46,4,,,Bronx
1155221,New York,2011-01-28,46,4,,10.0,Bronx
1155222,New York,2011-01-29,40,17,43.0,,Bronx
1155223,New York,2011-01-29,40,17,43.0,8.0,Bronx
